,2000,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Foreign exchange reserves (million US$),,,,,,,,,,,
Brazil(11),"33,011","363,551","356,464","365,016","373,972","374,715","356,884","355,620","362,204","324,703","355,034"
China,"165,574","3,843,018",3330362,"3,010,517","3,139,949","3,072,712","3,107,924","3,216,522","3,250,166","3,127,691","3,237,977"
Egypt,…,…,…,…,…,…,…,…,…,…,…
Ethiopia,…,…,…,…,…,…,…,…,…,…,…
India(12),"42,281","341,638","360,176","369,955","424,545","412,871","477,807","576,984","607,309","578,449","646,419"
Iran,…,…,…,…,…,…,…,…,…,…,…
Russia(13),"24,263","327,727","309,387","308,031","346,507","371,733","433,297","444,495","468,075","417,806","414,244"
South Africa,"7,534","49,102","45,787","47,356","50,722","51,641","55,058","55,013","57,589","60,570","62,518"
UAE,…,…,…,…,…,…,…,…,…,…,…
