,2000,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Value of exports of goods (million US$),,,,,,,,,,,
Brazil,…,…,…,…,…,…,…,…,…,…,…
China,"218,062","2,243,761","2,142,753","1,989,519","2,216,214","2,417,443","2,386,640","2,510,015","3,215,838","3,346,825","3,179,193"
Egypt,"4,694","27,644","21,996","22,497","26,278","29,304","30,505","29,323","43,711","52,232","42,179"
Ethiopia,…,…,…,…,…,…,…,…,…,…,…
India(2),"44,511","310,352","262,291","275,852","303,526","330,078","313,361","291,808","422,004","451,070","437,072"
Iran,…,…,…,…,…,…,…,…,…,…,…
Russia,"99,220","496,806","341,419","281,709","352,941","443,915","419,721","333,530","494,161","592,077","424,483"
South Africa,"32,019","93,330","80,550","76,171","87,735","94,415","90,004","84,711","121,765","123,127","110,443"
UAE,…,"378,902","297,754","295,031","311,641","328,387","314,598","272,156","323,318","367,507","396,359"
