,2000,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Value of imports and exports of goods and commercial services (million US$),,,,,,,,,,,
Brazil,"137,738","590,730","475,402","426,753","486,819","543,083","529,600","486,729","621,581","756,703",…
China(1),"477,398","4,704,505","4,362,434","4,140,108","4,641,545","5,214,114","5,130,154","5,119,223","6,648,968","6,861,031","6,636,433"
Egypt,…,"121,162","105,508","101,926","113,099","127,948","132,473","112,584","152,378","173,439","150,482"
Ethiopia,…,…,…,…,…,…,…,…,…,…,…
India(2),"125,909","998,075","882,239","920,259","1,081,727","1,178,217","1,129,530","1,009,854","1,436,596","1,674,419","1,634,649"
Iran,…,…,…,…,…,…,…,…,…,…,…
Russia,"168,991","991,448","674,824","598,449","737,731","852,146","834,047","686,327","926,639","988,263","844,975"
South Africa,"70,187","226,812","196,677","180,759","204,212","220,809","209,842","171,555","235,842","263,614","248,141"
UAE,…,"677,839","627,529","631,341","667,474","681,754","710,867","647,506","772,685","949,889","1,040,253"
